Name,University,web_page
Professor Jon Crowcroft,Cambridge,http://www.cl.cam.ac.uk/~jac22/
Dr Leonardo Bottolo,Cambridge,https://scholar.google.co.uk/citations?user=nNBd7i0AAAAJ&hl=en
Dr Quentin Berthet,Cambridge,http://www.statslab.cam.ac.uk/~qb204/
Professor Cecilia Mascolo,Cambridge,http://www.cl.cam.ac.uk/~cm542/
Professor Carl Rasmussen,Cambridge,http://mlg.eng.cam.ac.uk/
Professor Richard Samworth,Cambridge,http://www.statslab.cam.ac.uk/~rjs57/
Dr Rajen Dinesh Shah,Cambridge,http://www.statslab.cam.ac.uk/Dept/People/shah.html
Dr Sumeetpal Singh,Cambridge,https://www-sigproc.eng.cam.ac.uk/Main/SSS40
Dr Richard Gibbens,Cambridge,http://www.cl.cam.ac.uk/~rg31/
Professor Peter Markowich,Cambridge,http://www.damtp.cam.ac.uk/people/p.markowich/
Dr Adrian Weller,Cambridge,http://mlg.eng.cam.ac.uk/adrian/
Professor Carola-Bibiane Schonlieb,Cambridge,
Professor Zoe Kourtzi,Cambridge,
Dr Jose Miguel Hernandez-Lobato,Cambridge,
Professor Anuj Dawar,Cambridge,
Dr Phillip Stanley-Marbell,Cambridge,
Professor Bill Byrne,Cambridge,
Professor Ewan Klein,Edinburgh,
Dr Pramod Bhatotia,Edinburgh,
Dr Michal Branicki,Edinburgh,
Dr Annie Louis,Edinburgh,
Dr Kenneth Heafield,Edinburgh,
Professor Chris Williams,Edinburgh,http://homepages.inf.ed.ac.uk/ckiw/
Dr Aretha Teckentrup,Edinburgh,
Dr. Kostas Zygalakis,Edinburgh,
Professor Peter Boyle,Edinburgh,http://www2.ph.ed.ac.uk/~paboyle/
Professor Ruth King,Edinburgh,http://www.maths.ed.ac.uk/school-of-mathematics/people/show?person=446
Dr Nick Polydorides,Edinburgh,http://www.research.ed.ac.uk/portal/npolydor
Dr Beatrice Alex,Edinburgh,http://homepages.inf.ed.ac.uk/balex/
Professor David Aspinall,Edinburgh,http://homepages.inf.ed.ac.uk/da/
Dr Natalia Bochkina,Edinburgh,http://www.maths.ed.ac.uk/~nbochkin/
Dr Gian Marco Campagnolo,Edinburgh,http://www.sps.ed.ac.uk/staff/science_technology_and_innovation_studies/campagnolo_gian-marco
Dr Claire Grover,Edinburgh,http://homepages.inf.ed.ac.uk/grover/
Professor Anthony Kennedy,Edinburgh,http://www2.ph.ed.ac.uk/~adk/
Professor Ben Leimkuhler,Edinburgh,http://kac.maths.ed.ac.uk/~bl/
Dr Ioannis Papastathopoulos,Edinburgh,http://www.maths.ed.ac.uk/~ipapasta/
Dr Peter Richtarik,Edinburgh,http://www.maths.ed.ac.uk/~richtarik/
Dr Lukasz Szpruch,Edinburgh,http://www.maths.ed.ac.uk/~lszpruch/index.html
Dr Charles Sutton,Edinburgh,http://bit.ly/1W9UhqT
Dr Maria Wolters,Edinburgh,http://homepages.inf.ed.ac.uk/mwolters/
Professor Jared Tanner,Oxford,https://people.maths.ox.ac.uk/tanner/
Professor Stephen Roberts,Oxford,http://www.robots.ox.ac.uk/~sjrob
Professor Mihaela van der Schaar,Oxford,
Professor Alessandro Abate,Oxford,
Professor Pawan Kumar,Oxford,http://mpawankumar.info/
Dr Joss Wright,Oxford,http://www.oii.ox.ac.uk/people/wright/
Professor Varun Kanade,Oxford,http://www.cs.ox.ac.uk/people/varun.kanade/myindex.html
Professor Gesine Reinert,Oxford,http://www.stats.ox.ac.uk/~reinert/
Professor Yee Whye Teh,Oxford,http://www.stats.ox.ac.uk/~teh/
Professor Coralia Cartis,Oxford,http://people.maths.ox.ac.uk/cartis/
Professor Raphael Hauser,Oxford,https://www.maths.ox.ac.uk/people/raphael.hauser
Professor Francois Caron,Oxford,http://www.stats.ox.ac.uk/~caron/
Professor Dino Sejdinovic,Oxford,http://www.stats.ox.ac.uk/~sejdinov/
Professor Thomas Lukasiewicz,Oxford,http://www.cs.ox.ac.uk/thomas.lukasiewicz/
Professor Arnaud Doucet,Oxford,http://www.stats.ox.ac.uk/~doucet/
Professor Chris Holmes,Oxford,http://www.stats.ox.ac.uk/~cholmes/
Professor Terry Lyons,Oxford,https://www.maths.ox.ac.uk/people/terry.lyons
Professor Ulrike Tillmann,Oxford,https://people.maths.ox.ac.uk/tillmann/
Dr Scott Hale,Oxford,http://www.oii.ox.ac.uk/people/?id=195
Professor Frank Wood,Oxford,http://www.robots.ox.ac.uk/~fwood/
Professor Ian Horrocks,Oxford,http://www.cs.ox.ac.uk/ian.horrocks/
Professor Dan Olteanu,Oxford,http://www.cs.ox.ac.uk/dan.olteanu/
Professor Shimon Whiteson,Oxford,http://www.cs.ox.ac.uk/people/shimon.whiteson/
Dr Bernie Hogan,Oxford,http://www.oii.ox.ac.uk/people/hogan/
Dr Sarah Filippi,Oxford,http://www.stats.ox.ac.uk/~filippi/
Dr Taha Yasseri,Oxford,http://www.oii.ox.ac.uk/people/yasseri/
Professor Mark Graham,Oxford,http://www.oii.ox.ac.uk/people/graham/
Professor Vili Lehdonvirta,Oxford,http://vili.lehdonvirta.com/
Professor Helen Margetts,Oxford,
Professor Eric Meyer,Oxford,http://www.oii.ox.ac.uk/people/meyer/
Professor Luciano Floridi,Oxford,http://www.oii.ox.ac.uk/people/floridi/
Dr Mariarosaria Taddeo,Oxford,http://www.oii.ox.ac.uk/people/?id=406
Professor Charlotte Deane,Oxford,http://www.stats.ox.ac.uk/~deane/
Dr Sarah Meiklejohn,UCL,
Professor David Pym,UCL,http://www0.cs.ucl.ac.uk/staff/D.Pym/
Dr Emine Yilmaz,UCL,http://mediafutures.cs.ucl.ac.uk/people/emineyilmaz/publications/
Dr Ricardo Silva,UCL,http://www.homepages.ucl.ac.uk/~ucgtrbd/
Dr Mirco Musolesi,UCL,https://emea01.safelinks.protection.outlook.com/?url=http:%2F%2Fwww.ucl.ac.uk%2F~ucfamus%2F&data=02%7C01%7Ccommunications%40turing.ac.uk%7Cd05969c2ca304df102a908d4d4372cba%7C4395f4a7e4554f958a9f1fbaef6384f9%7C0%7C0%7C636366780811747207&sdata=nhsIeUzCQS8bqtkWlUD2Bt7uJrz3dq2e7A0hMNo%2B7nM%3D&reserved=0
Dr David Barber,UCL,http://web4.cs.ucl.ac.uk/staff/D.Barber/pmwiki/pmwiki.php
Professor Brad Love,UCL,https://www.ucl.ac.uk/pals/research/experimental-psychology/person/bradley-love/
Dr Ioanna Manolopoulou,UCL,http://www.homepages.ucl.ac.uk/~ucakima/
Dr Franz Kiraly,UCL,http://arxiv.org/abs/1505.01147
Dr Ioannis Kosmidis,UCL,http://www.ucl.ac.uk/~ucakiko/files/ikosmidis_thesis.pdf
Professor Petros Dellaportas,UCL,http://www.homepages.ucl.ac.uk/~ucakpde/
Dr Hao Ni,UCL,https://iris.ucl.ac.uk/iris/browse/profile?upi=HNIXX56
Professor George Danezis,UCL,http://www0.cs.ucl.ac.uk/staff/G.Danezis/
Dr Emma Uprichard,Warwick,
Professor Robert MacKay,Warwick,
Dr Suhaib Fahmy,Warwick,
Professor Wilfrid Kendall,Warwick,https://emea01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.warwick.ac.uk%2FWSK&data=02%7C01%7Cdwhitfield%40turing.ac.uk%7Ca8133b8d0dae42e471b408d4f9d4966d%7C4395f4a7e4554f958a9f1fbaef6384f9%7C0%7C0%7C636408138840955728&sdata=HfQt6gdiBP0wEe2nxI7AKi5FW9xXsxw58WxzA1%2Fawn8%3D&reserved=0
Professor Nasir Rajpoot,Warwick,
Professor Thomas Hills,Warwick,
Dr Weisi Guo,Warwick,http://www2.warwick.ac.uk/fac/sci/eng/staff/wg/
Professor Graham Cormode,Warwick,https://www2.warwick.ac.uk/fac/sci/dcs/people/graham_cormode/
Professor Rob Procter,Warwick,
Professor Saul Jacka,Warwick,
Professor David Firth,Warwick,http://www2.warwick.ac.uk/fac/sci/statistics/staff/academic-research/firth/
Dr Anthony Lee,Warwick,http://www2.warwick.ac.uk/fac/sci/statistics/staff/academic-research/lee/
Professor Chenlei Leng,Warwick,http://www2.warwick.ac.uk/fac/sci/statistics/staff/academic-research/leng/
Dr Filip Rindler,Warwick,http://www2.warwick.ac.uk/fac/sci/maths/people/staff/filip_rindler/
Professor Jim Smith,Warwick,http://www2.warwick.ac.uk/fac/sci/statistics/staff/academic-research/smith/
Dr Krys Latuszynski,Warwick,http://www2.warwick.ac.uk/fac/sci/statistics/staff/academic-research/latuszynski/
Dr Maria Liakata,Warwick,https://www2.warwick.ac.uk/fac/sci/dcs/people/maria_liakata/
Dr Suzy Moat,Warwick,http://www.wbs.ac.uk/about/person/suzy-moat/
Dr Theo Damoulas,Warwick,http://www2.warwick.ac.uk/fac/sci/statistics/staff/academic-research/damoulas/
Professor Tobias Preis,Warwick,http://www.tobiaspreis.com
Dr Matthew Leeke,Warwick,http://www2.warwick.ac.uk/fac/sci/dcs/people/matthew_leeke/
Dr Sebastian Vollmer,Warwick,http://vollmer.ms/sebastian/